0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:50 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:50 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:50 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:51 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:21:51 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:22:07 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:22:07 +0530] "GET /Frontend/Blog2.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:22:24 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:22:24 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:22:24 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 200 913359
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:23:24 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:23:24 +0530] "GET /Frontend/images//Blog2.jpg%20style= HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:23:24 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:23:34 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:23:35 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:23:41 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:00 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:33 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:33 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:33 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:35 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:47 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:50 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:51 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:51 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:24:51 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:25:07 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:25:31 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:25:31 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:28:49 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:28:49 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:28:49 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:29:07 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:29:40 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:30:11 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:30:11 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:30:32 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:30:32 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:31:04 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:32:12 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2382
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:32:12 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:32:12 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:32:23 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:32:30 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:32:38 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:33:08 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:33:23 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:35:47 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:35:47 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:35:47 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:36:08 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:36:35 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:36:49 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2625
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:37:04 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:37:11 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:37:23 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:37:52 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:37:52 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:38:45 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:38:45 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:14 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:15 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:23 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:24 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:24 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:40 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3052
